,Gas_Type,CH4,Ar,N2,CO2,C,O,H,Shape,Detector_Size,Detector_Area,Cover_Size,Cover_Area,Cover_Area_Ratio,Voltage,Source,Time_Window,Peak_Count,Folder
0,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,8000,kaynaksız,0,1845,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 8000V kaynaksız
1,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7500,cs,0,1617,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7500V Cs
2,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,8000,cs,0,10347,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 8000V Cs 2.kez
3,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,8000,kaynaksız,0,8866,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 8000V kaynaksız 2.kez
4,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7500,kaynaksız,0,5631,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7500V kaynaksız 2.kez
5,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,6500,kaynaksız,0,2564,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 6500V kaynaksız 2.kez
6,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,5500,cs,0,2155,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 5500V Cs
7,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,5000,kaynaksız,0,891,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 5000V kaynaksız
8,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,2500,kaynaksız,0,3,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 2500V kaynaksız (G-31-2dk)
9,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,4500,kaynaksız,0,1011,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 4500V kaynaksız
10,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,5000,cs,0,1131,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 5000V Cs
11,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,3500,cs,0,417,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 3500V Cs (G-1176-2dk)
12,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,3000,cs,0,215,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 3000V Cs (G-1107-2dk)
13,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,3000,kaynaksız,0,242,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 3000V kaynaksız (G-44-2dk)
14,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7000,cs,0,1633,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7000V Cs
15,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,3500,kaynaksız,0,246,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 3500V kaynaksız
16,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,6000,kaynaksız,0,1366,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 6000V kaynaksız
17,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7500,kaynaksız,0,491,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7500V kaynaksız
18,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,6500,kaynaksız,0,288,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 6500V kaynaksız
19,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,6500,cs,0,2823,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 6500V Cs
20,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7000,kaynaksız,0,528,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7000V kaynaksız
21,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,7000,cs,0,3493,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 7000V Cs 2.kez
22,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,5500,kaynaksız,0,891,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 5500V kaynaksız
23,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,4500,cs,0,936,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 4500V Cs
24,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,4000,kaynaksız,0,1367,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 4000V kaynaksız
25,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,8000,cs,0,1840,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 8000V Cs
26,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,4000,cs,0,1026,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 4000V Cs (G-1122-2dk)
27,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,2500,cs,0,9,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 2500V Cs (G-1153-2dk)
28,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,6.0,36.0,0.36,6000,cs,0,2173,detektor data 2/P10/Kare/Kare 10x10/6x6/p10 6000V Cs
29,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,8000,kaynaksız,0,1317,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 8000V kaynaksız
30,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,7500,cs,0,2531,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 7500V Cs
31,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,5000,cs,0,1279,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 5000V Cs (G-1120-2dk)
32,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,3500,cs,0,313,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 3500V Cs (G-1185-2dk)
33,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,4500,cs,0,1132,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 4500V Cs (G-1147-2dk)
34,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,3000,kaynaksız,0,123,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 3000V kaynaksız (G-35-2dk)
35,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,4000,kaynaksız,0,479,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 4000V kaynaksız (GG-46-2dk)
36,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,2500,cs,0,0,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 2500V Cs (G-1052-2dk)
37,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,3000,cs,0,99,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 3000V Cs (G-1111-2dk)
38,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,4000,cs,0,741,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 4000V Cs (G-1097-2dk)
39,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,7000,cs,0,2139,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 7000V Cs
40,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,6000,kaynaksız,0,859,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 6000V kaynaksız
41,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,5500,cs,0,1230,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 5500V Cs (G-1052-2dk)
42,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,7500,kaynaksız,0,1673,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 7500V kaynaksız
43,p10,0.1,0.9,0.0,0.0,0.02,0.0,0.08,kare,10.0,100.0,4.0,16.0,0.16,6500,kaynaksız,0,1140,detektor data 2/P10/Kare/Kare 10x10/4x4/p10 6500V kaynaksız
